19:59:07.357 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 11492 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
19:59:07.360 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
19:59:08.390 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
19:59:08.965 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 1.984 seconds (JVM running for 3.266)
20:01:28.026 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 8740 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
20:01:28.027 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
20:01:29.123 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
20:01:29.662 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 1.946 seconds (JVM running for 2.634)
20:02:47.144 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 1836 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
20:02:47.146 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
20:02:48.219 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
20:02:48.803 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.003 seconds (JVM running for 2.656)
20:04:46.873 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 13588 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
